0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0.000455944, 0.000913863, 0.00137568, 0.00184342, 0.00231915, 0.0028049, 0.00330282, 0.00381514, 0.00434414, 0.0048922, 0.00546185, 0.00605576, 0.00667682, 0.00732803, 0.00801265, 0.00873425, 0.00949668, 0.0103042, 0.0111615, 0.0120736, 0.0130463, 0.0140861, 0.0152004, 0.0163973, 0.0176866, 0.0190794, 0.0205887, 0.0222297, 0.0240208, 0.0259838, 0.0281457, 0.0305392, 0.0332054, 0.0361961, 0.0395781, 0.0434385, 0.0478932, 0.0531008, 0.0592828, 0.0667593, 0.0760098, 0.0877862, 0.103335, 0.124869, 0.156683, 0.208026, 0.301437, 0.499544, 1
0, 0.000909909, 0.00182376, 0.00274546, 0.00367893, 0.00462828, 0.00559765, 0.00659129, 0.00761364, 0.00866925, 0.00976283, 0.0108994, 0.0120844, 0.0133235, 0.0146226, 0.0159883, 0.0174276, 0.0189483, 0.0205588, 0.0222682, 0.0240867, 0.0260256, 0.0280979, 0.030318, 0.0327024, 0.0352698, 0.0380424, 0.0410455, 0.0443093, 0.0478695, 0.0517689, 0.0560597, 0.0608057, 0.0660862, 0.072001, 0.0786779, 0.0862825, 0.0950337, 0.105227, 0.117271, 0.131745, 0.149494, 0.1718, 0.200683, 0.23946, 0.293837, 0.373984, 0.498176, 0.69674, 1
0, 0.00136, 0.00272581, 0.00410338, 0.00549858, 0.00691744, 0.0083662, 0.00985118, 0.0113789, 0.0129563, 0.0145904, 0.0162886, 0.0180591, 0.01991, 0.0218505, 0.0238903, 0.0260397, 0.0283103, 0.0307145, 0.0332658, 0.0359792, 0.0388716, 0.0419619, 0.0452715, 0.0488242, 0.052648, 0.0567748, 0.0612418, 0.0660926, 0.0713789, 0.0771627, 0.0835185, 0.0905376, 0.0983326, 0.107044, 0.11685, 0.12798, 0.140732, 0.155503, 0.17283, 0.193454, 0.218421, 0.249239, 0.288135, 0.33845, 0.405222, 0.495896, 0.620544, 0.789238, 1
0, 0.00180425, 0.00361621, 0.00544367, 0.00729455, 0.00917679, 0.0110986, 0.0130683, 0.0150947, 0.0171867, 0.0193537, 0.0216057, 0.0239531, 0.026407, 0.0289792, 0.0316825, 0.0345308, 0.0375389, 0.0407231, 0.0441012, 0.0476927, 0.0515197, 0.0556069, 0.0599816, 0.0646751, 0.0697233, 0.0751671, 0.0810542, 0.0874403, 0.094391, 0.101984, 0.110314, 0.119494, 0.129662, 0.140992, 0.153699, 0.168055, 0.184411, 0.203223, 0.225092, 0.250821, 0.281495, 0.3186, 0.36417, 0.420982, 0.492705, 0.583835, 0.698867, 0.839669, 1
0, 0.00224076, 0.00449111, 0.00676067, 0.0090592, 0.0113966, 0.0137831, 0.0162289, 0.0187449, 0.0213421, 0.0240322, 0.0268274, 0.0297406, 0.0327856, 0.0359768, 0.03933, 0.0428621, 0.0465915, 0.0505379, 0.0547229, 0.0591707, 0.0639079, 0.0689642, 0.0743728, 0.0801714, 0.0864028, 0.093116, 0.100368, 0.108223, 0.11676, 0.12607, 0.13626, 0.147461, 0.159831, 0.173564, 0.188898, 0.20613, 0.225634, 0.247886, 0.273495, 0.303242, 0.33814, 0.379494, 0.428965, 0.488603, 0.560781, 0.647871, 0.75142, 0.87057, 1
0, 0.00266771, 0.0053468, 0.00804872, 0.0107851, 0.0135676, 0.0164083, 0.0193194, 0.0223138, 0.0254046, 0.0286055, 0.031931, 0.0353964, 0.0390178, 0.0428124, 0.0467986, 0.0509964, 0.0554272, 0.0601139, 0.0650819, 0.0703593, 0.075977, 0.0819692, 0.0883741, 0.0952349, 0.102601, 0.110527, 0.119077, 0.128325, 0.138357, 0.149274, 0.161194, 0.174259, 0.188638, 0.204535, 0.222198, 0.241932, 0.26411, 0.289194, 0.317758, 0.350512, 0.388329, 0.432272, 0.483591, 0.543684, 0.613945, 0.695449, 0.788372, 0.891193, 1
0, 0.00308329, 0.00617971, 0.00930244, 0.0124648, 0.0156804, 0.018963, 0.0223268, 0.0257863, 0.0293569, 0.0330541, 0.0368948, 0.0408962, 0.0450768, 0.0494564, 0.0540559, 0.058898, 0.0640068, 0.0694085, 0.0751316, 0.0812078, 0.0876717, 0.0945613, 0.101919, 0.109794, 0.118238, 0.127313, 0.137088, 0.147643, 0.15907, 0.171475, 0.184984, 0.199743, 0.215926, 0.233739, 0.253428, 0.27529, 0.299679, 0.327022, 0.357832, 0.392717, 0.432393, 0.477673, 0.529445, 0.588596, 0.655866, 0.731607, 0.815428, 0.905827, 1
0, 0.00348575, 0.00698634, 0.0105166, 0.0140915, 0.0177263, 0.0214367, 0.0252384, 0.0291479, 0.0331824, 0.0373594, 0.0416977, 0.0462166, 0.0509369, 0.0558805, 0.0610709, 0.0665329, 0.0722935, 0.0783814, 0.0848283, 0.0916687, 0.0989405, 0.106685, 0.114949, 0.123783, 0.133244, 0.143399, 0.154319, 0.166089, 0.178804, 0.192573, 0.207524, 0.223804, 0.241584, 0.261067, 0.282486, 0.30612, 0.332293, 0.361383, 0.39383, 0.430133, 0.470852, 0.516582, 0.56792, 0.625388, 0.689318, 0.759683, 0.835906, 0.916689, 1
0, 0.00387348, 0.00776336, 0.0116861, 0.0156584, 0.0196969, 0.0238189, 0.0280421, 0.0323847, 0.0368653, 0.0415035, 0.0463198, 0.0513357, 0.0565738, 0.0620581, 0.0678143, 0.0738694, 0.0802526, 0.0869952, 0.0941315, 0.101698, 0.109736, 0.11829, 0.127407, 0.137144, 0.147558, 0.158719, 0.170701, 0.18359, 0.197483, 0.212489, 0.228735, 0.246364, 0.265541, 0.286457, 0.30933, 0.334412, 0.36199, 0.392388, 0.425971, 0.463135, 0.504299, 0.549883, 0.600264, 0.655719, 0.716333, 0.781903, 0.851822, 0.925023, 1
